Name;Status;Population census 1990-04-01;Population census 2000-04-01;Population census 2010-04-01;Population estimate 2011-07-01
Alabama;Federal State;4040389;4447207;4779736;4802740
Autauga;County;34222;43751;54571;55267
Baldwin;County;98280;140416;182265;186717
Barbour;County;25417;29042;27457;27119
Bibb;County;16598;19856;22915;22766
Blount;County;39248;50982;57322;57677
Bullock;County;11042;11603;10914;10542
Butler;County;21892;21394;20947;20650
Calhoun;County;116032;111882;118572;117797
Chambers;County;36876;36600;34215;33939
Cherokee;County;19543;23909;25989;26057
Chilton;County;32458;39604;43643;43895
Choctaw;County;16018;15953;13859;13609
Clarke;County;27240;27870;25833;25695
Clay;County;13252;14240;13932;13862
Cleburne;County;12730;14141;14972;14835
Coffee;County;40240;43639;49948;50526
Colbert;County;51666;54979;54428;54512
Conecuh;County;14054;14077;13228;13105
Coosa;County;11063;11842;11539;10713
Covington;County;36478;37640;37765;38058
Crenshaw;County;13635;13657;13906;13911
Cullman;County;67613;77426;80406;80536
Dale;County;49633;49120;50251;50044
Dallas;County;48130;46361;43820;43332
DeKalb;County;54651;64436;71109;71375
Elmore;County;49210;65819;79303;80162
Escambia;County;35518;38452;38319;38095
Etowah;County;99840;103448;104430;104303
Fayette;County;17962;18522;17241;17182
Franklin;County;27814;31257;31704;31884
Geneva;County;23647;25700;26790;26781
Greene;County;10153;9923;9045;8921
Hale;County;15498;18270;15760;15421
Henry;County;15374;16297;17302;17412
Houston;County;81331;88831;101547;102369
Jackson;County;47796;53871;53227;53291
Jefferson;County;651520;662041;658466;658931
Lamar;County;15715;15902;14564;14311
Lauderdale;County;79661;87952;92709;92781
Lawrence;County;31513;34834;34339;34117
Lee;County;87146;115014;140247;143468
Limestone;County;54135;65668;82782;85369
Lowndes;County;12658;13483;11299;11147
Macon;County;24928;24086;21452;21182
Madison;County;238912;276998;334811;340111
Marengo;County;23084;22533;21027;20692
Marion;County;29830;31162;30776;30663
Marshall;County;70832;82303;93019;94166
Mobile;County;378643;399887;412992;412577
Monroe;County;23968;24320;23068;22760
Montgomery;County;209085;223518;229363;232032
Morgan;County;100043;111076;119490;119953
Perry;County;12759;11876;10591;10373
Pickens;County;20699;20914;19746;19349
Pike;County;27595;29688;32899;32915
Randolph;County;19881;22344;22913;22787
Russell;County;46860;49854;52947;54572
Shelby;County;99363;143429;195085;197936
St. Clair;County;49811;64740;83593;84398
Sumter;County;16174;14772;13763;13478
Talladega;County;74109;80734;82291;81664
Tallapoosa;County;38826;41771;41616;41623
Tuscaloosa;County;150500;164932;194656;197211
Walker;County;67670;70688;67023;66661
Washington;County;16694;18077;17581;17344
Wilcox;County;13568;12995;11670;11482
Winston;County;22053;24806;24484;24327
Alaska;Federal State;550043;626933;710231;722718
Aleutians East;Borough;2464;2697;3141;3172
Aleutians West;Census Area;9478;5464;5561;5504
Anchorage;Municipality;226338;260299;291826;295570
Bethel;Census Area;13660;16046;17013;17416
Bristol Bay;Borough;1410;1258;997;1030
Denali;Borough;1682;1893;1826;1855
Dillingham;Census Area;4010;4922;4847;4975
Fairbanks North Star;Borough;77720;82849;97581;99192
Haines;Borough;2117;2392;2508;2554
Hoonah-Angoon;Census Area;...;...;2150;2112
Juneau;City and Borough;26752;30704;31275;32164
Kenai Peninsula;Borough;40802;49673;55400;56293
Ketchikan Gateway;Borough;13828;14074;13477;13593
Kodiak Island;Borough;13309;13916;13592;13872
Lake and Peninsula;Borough;1666;1823;1631;1668
Matanuska-Susitna;Borough;39683;59318;88995;91946
Nome;Census Area;8288;9196;9492;9856
North Slope;Borough;5986;7385;9430;9503
Northwest Arctic;Borough;6106;7208;7523;7733
Petersburg;Census Area;...;...;3815;3838
Prince of Wales-Hyder;Census Area;...;...;5559;5737
Sitka;City and Borough;8588;8835;8881;8952
Skagway;Municipality;...;...;968;935
Southeast Fairbanks;Census Area;5925;6174;7029;7132
Valdez-Cordova;Census Area;9920;10195;9636;9770
Wade Hampton;Census Area;5789;7028;7459;7662
Wrangell;City and Borough;...;...;2369;2382
Yakutat;City and Borough;725;808;662;646
Yukon-Koyukuk;Census Area;6798;6510;5588;5656
Arizona;Federal State;3665339;5130247;6392017;6482505
Apache;County;61591;69430;71518;72401
Cochise;County;97624;117743;131346;133289
Coconino;County;96591;116320;134421;134511
Gila;County;40216;51298;53597;53144
Graham;County;26554;33475;37220;37147
Greenlee;County;8008;8539;8437;8606
La Paz;County;13844;19670;20489;20419
Maricopa;County;2122101;3072415;3817117;3880244
Mohave;County;93497;154981;200186;202351
Navajo;County;77674;97452;107449;107398
Pima;County;666957;843702;980263;989569
Pinal;County;116397;179469;375770;382992
Santa Cruz;County;29676;38381;47420;47676
Yavapai;County;107714;167377;211033;211888
Yuma;County;106895;159995;195751;200870
Arkansas;Federal State;2350624;2673293;2915918;2937979
Arkansas;County;21653;20751;19019;18892
Ashley;County;24319;24217;21853;21692
Baxter;County;31186;38365;41513;41536
Benton;County;97530;153323;221339;227556
Boone;County;28297;33940;36903;37051
Bradley;County;11793;12618;11508;11482
Calhoun;County;5826;5731;5368;5144
Carroll;County;18623;25345;27446;27512
Chicot;County;15713;14101;11800;11721
Clark;County;21437;23541;22995;22858
Clay;County;18107;17594;16083;15880
Cleburne;County;19411;24005;25970;25901
Cleveland;County;7781;8562;8689;8672
Columbia;County;25691;25612;24552;24401
Conway;County;19151;20320;21273;21270
Craighead;County;68956;82139;96443;98315
Crawford;County;42493;53252;61948;61944
Crittenden;County;49939;50855;50902;50525
Cross;County;19225;19529;17870;17781
Dallas;County;9614;9196;8116;8072
Desha;County;16798;15351;13008;12763
Drew;County;17369;18690;18509;18467
Faulkner;County;60006;86036;113237;116342
Franklin;County;14897;17766;18125;18047
Fulton;County;10037;11627;12245;12296
Garland;County;73397;88122;96024;97124
Grant;County;13948;16457;17853;17988
Greene;County;31804;37383;42090;42720
Hempstead;County;21621;23597;22609;22541
Hot Spring;County;26115;30413;32923;32881
Howard;County;13569;14304;13789;13886
Independence;County;31192;34246;36647;36861
Izard;County;11364;13261;13696;13419
Jackson;County;18944;18420;17997;17866
Jefferson;County;85487;84295;77435;76246
Johnson;County;18221;22779;25540;25742
Lafayette;County;9643;8550;7645;7516
Lawrence;County;17455;17762;17415;17178
Lee;County;13053;12578;10424;10326
Lincoln;County;13690;14482;14134;14006
Little River;County;13966;13628;13171;12996
Logan;County;20557;22480;22353;22290
Lonoke;County;39268;52849;68356;69341
Madison;County;11618;14228;15717;15776
Marion;County;12001;16147;16653;16573
Miller;County;38467;40455;43462;43759
Mississippi;County;57525;51999;46480;45966
Monroe;County;11333;10255;8149;8075
Montgomery;County;7841;9222;9487;9433
Nevada;County;10101;9940;8997;9017
Newton;County;7666;8603;8330;8264
Ouachita;County;30574;28776;26120;25880
Perry;County;7969;10199;10445;10405
Phillips;County;28830;26438;21757;21442
Pike;County;10086;11301;11291;11259
Poinsett;County;24664;25617;24583;24514
Polk;County;17347;20234;20662;20610
Pope;County;45883;54492;61754;62331
Prairie;County;9518;9523;8715;8618
Pulaski;County;349569;361370;382748;386299
Randolph;County;16558;18191;17969;18017
Saline;County;64183;83559;107118;109526
Scott;County;10205;10986;11233;11272
Searcy;County;7841;8240;8195;8036
Sebastian;County;99590;115101;125744;127127
Sevier;County;13637;15750;17058;17293
Sharp;County;14109;17120;17264;17380
St. Francis;County;28497;29330;28258;27970
Stone;County;9775;11496;12394;12603
Union;County;46719;45633;41639;41427
Van Buren;County;14008;16182;17295;17083
Washington;County;113409;157805;203065;207521
White;County;54676;67164;77076;78167
Woodruff;County;9520;8738;7260;7229
Yell;County;17759;21127;22185;22060
California;Federal State;29811427;33871653;37253956;37691912
Alameda;County;1304347;1443705;1510271;1529875
Alpine;County;1113;1206;1175;1102
Amador;County;30039;35101;38091;37953
Butte;County;182120;203125;220000;220266
Calaveras;County;31998;40535;45578;45052
Colusa;County;16275;18799;21419;21549
Contra Costa;County;803731;948865;1049025;1066096
Del Norte;County;23460;27505;28610;28659
El Dorado;County;125995;156314;181058;180938
Fresno;County;667479;798766;930450;942904
Glenn;County;24798;26432;28122;28128
Humboldt;County;119118;126508;134623;134761
Imperial;County;109303;142334;174528;177057
Inyo;County;18281;17955;18546;18478
Kern;County;544981;661632;839631;851710
Kings;County;101469;129470;152982;153765
Lake;County;50631;58331;64665;64323
